original_concept_name_gm	diff_1_cc	diff_2_cc	concept_id	concept_name	diff_3_cc	diff_4_cn_who
Arthritis nach intestinalem Bypass: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]	M02.08	M02.0	2005343	Arthritis nach intestinalem Bypass	(null)	(null)
Sonstige Gelenkknorpelschädigungen: Unterarm [Radius, Ulna, Handgelenk]	M24.13	M24.1	2005504	Sonstige Gelenkknorpelschädigungen	(null)	(null)
Sonstige näher bezeichnete Arthropathien, anderenorts nicht klassifiziert: Mehrere Lokalisationen	M12.80	M12.8	2005410	Sonstige näher bezeichnete Arthropathien, anderenorts nicht klassifiziert	(null)	(null)
Diabetes mellitus, Typ 2: Mit Nierenkomplikationen: Als entgleist bezeichnet	E11.21	E11.2	2012208	Diabetes mellitus, Typ 2: Mit Nierenkomplikationen	(null)	(null)
Sonstige Meniskusschädigungen: Sonstiger und nicht näher bezeichneter Teil des Außenmeniskus	M23.36	M23.3	2005496	Sonstige Meniskusschädigungen	(null)	(null)
Chronische obstruktive Lungenkrankheit mit akuter Exazerbation, nicht näher bezeichnet: FEV1 < 35 % des Sollwertes	J44.10	J44.1	2004305	Chronische obstruktive Lungenkrankheit mit akuter Exazerbation, nicht näher bezeichnet	(null)	(null)
Gicht, nicht näher bezeichnet: Unterarm [Radius, Ulna, Handgelenk]	M10.93	M10.9	2005396	Gicht, nicht näher bezeichnet	(null)	(null)
Verstauchung und Zerrung des Kniegelenkes: Riss des fibularen Seitenbandes [Außenband]	S83.43	S83.4	2009033	Verstauchung und Zerrung des Kniegelenkes mit Beteiligung des (fibularen) (tibialen) Seitenbandes	(null)	(null)
Sonstige Spondylose: Lumbalbereich	M47.86	M47.8	2005619	Sonstige Spondylose	(null)	(null)
Idiopathische Gicht: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]	M10.08	M10.0	2005391	Idiopathische Gicht	(null)	(null)
Schwangerschaftsdauer: 34. Woche bis 36 vollendete Wochen	O09.5	O09	(null)	(null)	(null)	(null)
Krankheiten der Bänder: Unterarm [Radius, Ulna, Handgelenk]	M24.23	M24.2	2005505	Krankheiten der Bänder	(null)	(null)
Gutartige Neubildung des Knochens und des Gelenkknorpels: Kraniofazial	D16.41	D16.4	2001574	Gutartige Neubildung des Knochens und des Gelenkknorpels: Knochen des Hirn- und Gesichtsschädels	(null)	(null)
Fraktur: Os naviculare pedis	S92.21	S92.2	2009090	Fraktur eines oder mehrerer sonstiger Fußwurzelknochen	(null)	(null)
Chondromalazie: Oberarm [Humerus, Ellenbogengelenk]	M94.22	M94.2	2005916	Chondromalazie	(null)	(null)
Neuralgie und Neuritis, nicht näher bezeichnet: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]	M79.25	M79.2	2005790	Neuralgie und Neuritis, nicht näher bezeichnet	(null)	(null)
Idiopathische aseptische Knochennekrose: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]	M87.01	M87.0	2005859	Idiopathische aseptische Knochennekrose	(null)	(null)
Sonstige Osteoporose mit pathologischer Fraktur: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]	M80.81	M80.8	2005805	Sonstige Osteoporose mit pathologischer Fraktur	(null)	(null)
Sonstige chronische Osteomyelitis: Nicht näher bezeichnete Lokalisation	M86.69	M86.6	2005855	Sonstige chronische Osteomyelitis	(null)	(null)
Lokalisierte Osteoporose [Lequesne]: Unterschenkel [Fibula, Tibia, Kniegelenk]	M81.66	M81.6	2005814	Lokalisierte Osteoporose [Lequesne]	(null)	(null)
Chondrolyse: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]	M94.34	M94.3	2005917	Chondrolyse	(null)	(null)
Frakturen mit Beteiligung mehrerer Regionen einer oberen Extremität: geschlossen oder o.n.A.	T02.20	T02.2	2009159	Frakturen mit Beteiligung mehrerer Regionen einer oberen Extremität	(null)	(null)
Arthritis nach Impfung: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]	M02.28	M02.2	2005345	Arthritis nach Impfung	(null)	(null)
Bindegewebige Stenose des Spinalkanals: Abdomen und sonstige Lokalisationen	M99.49	M99.4	2005944	Bindegewebige Stenose des Spinalkanals	(null)	(null)
Villonoduläre Synovitis (pigmentiert): Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]	M12.21	M12.2	2005406	Villonoduläre Synovitis (pigmentiert)	(null)	(null)
Neutropenie, nicht näher bezeichnet	D70.7	D70	2001898	Agranulozytose	(null)	(null)
Arthritis mutilans: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]	M07.15	M07.1	2005371	Arthritis mutilans	(null)	(null)
Idiopathische Osteoporose: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]	M81.54	M81.5	2005813	Idiopathische Osteoporose	(null)	(null)
Arthritis bei sonstigen anderenorts klassifizierten bakteriellen Krankheiten: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]	M01.31	M01.3	2005337	Arthritis bei sonstigen anderenorts klassifizierten bakteriellen Krankheiten	(null)	(null)
Kalzifikation und Ossifikation von Muskeln, nicht näher bezeichnet: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]	M61.94	M61.9	2005683	Kalzifikation und Ossifikation von Muskeln, nicht näher bezeichnet	(null)	(null)
Oberflächliche Verletzung sonstiger und nicht näher bezeichneter Teile des Thorax: Insektenbiss oder -stich (ungiftig)	S20.83	S20.8	2008595	Oberflächliche Verletzung sonstiger und nicht näher bezeichneter Teile des Thorax	(null)	(null)
Myositis ossificans progressiva: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]	M61.15	M61.1	2005678	Myositis ossificans progressiva	(null)	(null)
Arzneimittelinduzierte Gicht: Nicht näher bezeichnete Lokalisation	M10.29	M10.2	2005393	Arzneimittelinduzierte Gicht	(null)	(null)
Adulte Form der Still-Krankheit: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]	M06.15	M06.1	2005363	Adulte Form der Still-Krankheit	(null)	(null)
Adulte Form der Still-Krankheit: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]	M06.11	M06.1	2005363	Adulte Form der Still-Krankheit	(null)	(null)
Oberflächliche Verletzung des Rumpfes, Höhe nicht näher bezeichnet: Prellung	T09.05	T09.0	2009205	Oberflächliche Verletzung des Rumpfes, Höhe nicht näher bezeichnet	(null)	(null)
Sonstige näher bezeichnete Arthritis: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]	M13.87	M13.8	2005414	Sonstige näher bezeichnete Arthritis	(null)	(null)
Sonstige oberflächliche Verletzungen der vorderen Thoraxwand: Oberflächlicher Fremdkörper (Splitter)	S20.34	S20.3	2008592	Sonstige oberflächliche Verletzungen der vorderen Thoraxwand	(null)	(null)
Erworbener Knick-Plattfuß [Pes planovalgus]	M21.61	M21.6	2005480	Sonstige erworbene Deformitäten des Knöchels und des Fußes	(null)	(null)
Immobilitätssyndrom (paraplegisch): Mehrere Lokalisationen	M62.30	M62.3	2005688	Immobilitätssyndrom (paraplegisch)	(null)	(null)
Hohlwarze im Zusammenhang mit der Gestation: Mit Angabe von Schwierigkeiten beim Anlegen	O92.01	O92.0	2006917	Hohlwarze im Zusammenhang mit der Gestation	(null)	(null)
Arthritis bei sonstigen anderenorts klassifizierten bakteriellen Krankheiten: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]	M01.34	M01.3	2005337	Arthritis bei sonstigen anderenorts klassifizierten bakteriellen Krankheiten	(null)	(null)
Erworbene Deformität einer Extremität, nicht näher bezeichnet: Unterarm [Radius, Ulna, Handgelenk]	M21.93	M21.9	2005483	Erworbene Deformität einer Extremität, nicht näher bezeichnet	(null)	(null)
Osteoporose infolge Malabsorption nach chirurgischem Eingriff: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]	M81.35	M81.3	2005811	Osteoporose infolge Malabsorption nach chirurgischem Eingriff	(null)	(null)
Sekundäre Schlüsselnummern für die Art des Konsums psychotroper Substanzen bei durch diese verursachten psychischen und Verhaltensstörungen: Nichtintravenöser Konsum (Meth-)Amphetamin-haltiger Stoffe	U69.34	U69.3	(null)	(null)	U69	(null)
Verbrennung 3. Grades des Rumpfes: Thoraxwand mit Ausnahme von Brustdrüse und -warze	T21.32	T21.3	2009291	Verbrennung 3. Grades des Rumpfes	(null)	(null)
Bursopathie, nicht näher bezeichnet: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]	M71.98	M71.9	2005745	Bursopathie, nicht näher bezeichnet	(null)	(null)
Spondylose, nicht näher bezeichnet: Thorakalbereich	M47.94	M47.9	2005620	Spondylose, nicht näher bezeichnet	(null)	(null)
Verbrennung Grad 2b, Körperregion nicht näher bezeichnet	T30.21	T30.2	2009375	Verbrennung 2. Grades, Körperregion nicht näher bezeichnet	(null)	(null)
Felty-Syndrom: Unterschenkel [Fibula, Tibia, Kniegelenk]	M05.06	M05.0	2005355	Felty-Syndrom	(null)	(null)
Stillstand des Epiphysenwachstums: Unterarm [Radius, Ulna, Handgelenk]	M89.13	M89.1	2005871	Stillstand des Epiphysenwachstums	(null)	(null)
Entzündliche Spondylopathie, nicht näher bezeichnet: Zervikalbereich	M46.92	M46.9	2005614	Entzündliche Spondylopathie, nicht näher bezeichnet	(null)	(null)
Angeborene Spondylolyse	Q76.22	Q76.2	2007865	Angeborene Spondylolisthesis	(null)	(null)
Vaskulitis bei juveniler Arthritis: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]	M08.71	M08.7	(null)	(null)	M08	Juvenile Arthritis
Akute Leukämie nicht näher bezeichneten Zelltyps: In kompletter Remission	C95.01	C95.0	2001442	Akute Leukämie nicht näher bezeichneten Zelltyps	(null)	(null)
Idiopathische Osteoporose: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]	M81.55	M81.5	2005813	Idiopathische Osteoporose	(null)	(null)
Arthritis bei Röteln: Unterschenkel [Fibula, Tibia, Kniegelenk]	M01.46	M01.4	2005338	Arthritis bei Röteln	(null)	(null)
Staphylococcal scalded skin syndrome [SSS-Syndrom]: Befall von 30 % der Körperoberfläche und mehr	L00.1	L00	2004928	Staphylococcal scalded skin syndrome [SSS-Syndrom]	(null)	(null)
Sonstige Spondylose mit Myelopathie: Zervikothorakalbereich	M47.13	M47.1	2005617	Sonstige Spondylose mit Myelopathie	(null)	(null)
Atherosklerotische Herzkrankheit: Mit stenosierten Bypass-Gefäßen	I25.15	I25.1	2003785	Atherosklerotische Herzkrankheit	(null)	(null)
Juvenile Spondylitis ankylosans: Oberarm [Humerus, Ellenbogengelenk]	M08.12	M08.1	2005379	Juvenile Spondylitis ankylosans	(null)	(null)
Verletzung: Colon sigmoideum	S36.54	S36.5	2008719	Verletzung des Dickdarmes	(null)	(null)
Osteochondrose der Wirbelsäule, nicht näher bezeichnet: Okzipito-Atlanto-Axialbereich	M42.91	M42.9	2005594	Osteochondrose der Wirbelsäule, nicht näher bezeichnet	(null)	(null)
Bandscheibeninfektion (pyogen): Nicht näher bezeichnete Lokalisation	M46.39	M46.3	2005610	Bandscheibeninfektion (pyogen)	(null)	(null)
Übermäßige Adipositas mit alveolärer Hypoventilation: Body-Mass-Index [BMI] nicht näher bezeichnet	E66.29	E66.2	2002256	Übermäßige Adipositas mit alveolärer Hypoventilation	(null)	(null)
Oberflächliche Verletzung sonstiger Teile des Kopfes: Insektenbiss oder -stich (ungiftig)	S00.83	S00.8	2008454	Oberflächliche Verletzung sonstiger Teile des Kopfes	(null)	(null)
Chronische obstruktive Lungenkrankheit mit akuter Exazerbation, nicht näher bezeichnet: FEV1 nicht näher bezeichnet	J44.19	J44.1	2004305	Chronische obstruktive Lungenkrankheit mit akuter Exazerbation, nicht näher bezeichnet	(null)	(null)
Pannikulitis, nicht näher bezeichnet: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]	M79.37	M79.3	2005791	Pannikulitis, nicht näher bezeichnet	(null)	(null)
Juvenile Osteochondrose der Wirbelsäule: Nicht näher bezeichnete Lokalisation	M42.09	M42.0	2005592	Juvenile Osteochondrose der Wirbelsäule	(null)	(null)
Sonstige chronische Osteomyelitis: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]	M86.64	M86.6	2005855	Sonstige chronische Osteomyelitis	(null)	(null)
Sonstige Spondylose: Sakral- und Sakrokokzygealbereich	M47.88	M47.8	2005619	Sonstige Spondylose	(null)	(null)
Sonstige Knochenzyste: Unterschenkel [Fibula, Tibia, Kniegelenk]	M85.66	M85.6	2005845	Sonstige Knochenzyste	(null)	(null)
Arzneimittelinduzierte Agranulozytose und Neutropenie, nicht näher bezeichnet	D70.19	D70.1	(null)	(null)	D70	Agranulozytose
Valgusdeformität, anderenorts nicht klassifiziert: Mehrere Lokalisationen	M21.00	M21.0	2005474	Valgusdeformität, anderenorts nicht klassifiziert	(null)	(null)
Solitäre Knochenzyste: Unterarm [Radius, Ulna, Handgelenk]	M85.43	M85.4	2005843	Solitäre Knochenzyste	(null)	(null)
Vorzeitiger Blasensprung, Wehenbeginn nach Ablauf von 1 bis 7 Tagen	O42.11	O42.1	2006698	Vorzeitiger Blasensprung, Wehenbeginn nach Ablauf von 24 Stunden	(null)	(null)
Periostitis bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]	M90.14	M90.1	2005881	Periostitis bei sonstigen anderenorts klassifizierten Infektionskrankheiten	(null)	(null)
Luxation des Kniegelenkes: Luxation der proximalen Tibia nach lateral	S83.14	S83.1	2009030	Luxation des Kniegelenkes	(null)	(null)
Myositis bei anderenorts klassifizierten bakteriellen Krankheiten: Unterarm [Radius, Ulna, Handgelenk]	M63.03	M63.0	2005695	Myositis bei anderenorts klassifizierten bakteriellen Krankheiten	(null)	(null)
Osteomalazie im Erwachsenenalter durch Malabsorption: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]	M83.28	M83.2	2005824	Osteomalazie im Erwachsenenalter durch Malabsorption	(null)	(null)
Idiopathische aseptische Knochennekrose: Oberarm [Humerus, Ellenbogengelenk]	M87.02	M87.0	2005859	Idiopathische aseptische Knochennekrose	(null)	(null)
Nicht näher bezeichnete Osteoporose mit pathologischer Fraktur: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]	M80.95	M80.9	2005806	Nicht näher bezeichnete Osteoporose mit pathologischer Fraktur	(null)	(null)
Idiopathische Skoliose beim Kind: Sakral- und Sakrokokzygealbereich	M41.08	M41.0	2005583	Idiopathische Skoliose beim Kind	(null)	(null)
Idiopathische Skoliose beim Kind: Okzipito-Atlanto-Axialbereich	M41.01	M41.0	2005583	Idiopathische Skoliose beim Kind	(null)	(null)
Radikulopathie: Sakral- und Sakrokokzygealbereich	M54.18	M54.1	2005662	Radikulopathie	(null)	(null)
Verbrennung nicht näher bezeichneten Grades des Rumpfes: Thoraxwand ausgenommen Brustdrüse und -warze	T21.02	T21.0	2009288	Verbrennung nicht näher bezeichneten Grades des Rumpfes	(null)	(null)
Hydrops intermittens: Oberarm [Humerus, Ellenbogengelenk]	M12.42	M12.4	2005408	Hydrops intermittens	(null)	(null)
Binnenschädigung des Kniegelenkes, nicht näher bezeichnet: Vorderes Kreuzband oder Vorderhorn des Innenmeniskus	M23.91	M23.9	2005501	Binnenschädigung des Kniegelenkes, nicht näher bezeichnet	(null)	(null)
Spontanruptur von Strecksehnen: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]	M66.28	M66.2	2005711	Spontanruptur von Strecksehnen	(null)	(null)
Sonstige myeloische Leukämie: Ohne Angabe einer kompletten Remission	C92.70	C92.7	2001425	Sonstige myeloische Leukämie	(null)	(null)
Frakturheilung in Fehlstellung: Nicht näher bezeichnete Lokalisation	M84.09	M84.0	2005831	Frakturheilung in Fehlstellung	(null)	(null)
Sonstige infektiöse Bursitis: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]	M71.17	M71.1	2005739	Sonstige infektiöse Bursitis	(null)	(null)
Sonstige näher bezeichnete zerebrovaskuläre Krankheiten	I67.88	I67.8	2004007	Sonstige näher bezeichnete zerebrovaskuläre Krankheiten	(null)	(null)
Vorzeitiger Blasensprung, Wehenbeginn nach Ablauf von mehr als 7 Tagen	O42.12	O42.1	2006698	Vorzeitiger Blasensprung, Wehenbeginn nach Ablauf von 24 Stunden	(null)	(null)
Verbrennungen von 10-19 % der Körperoberfläche: 10-19 % Verbrennungen 3. Grades	T31.11	T31.1	2009383	Verbrennungen von 10-19 % der Körperoberfläche	(null)	(null)
Neuromyopathische Skoliose: Thorakalbereich	M41.44	M41.4	2005587	Neuromyopathische Skoliose	(null)	(null)
Rissverletzung der Lunge	S27.32	S27.3	2008645	Sonstige Verletzungen der Lunge	(null)	(null)
Sonstige näher bezeichnete Krankheiten der Synovialis und der Sehnen: Nicht näher bezeichnete Lokalisation	M67.89	M67.8	2005721	Sonstige näher bezeichnete Krankheiten der Synovialis und der Sehnen	(null)	(null)
Varusdeformität, anderenorts nicht klassifiziert: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]	M21.18	M21.1	2005475	Varusdeformität, anderenorts nicht klassifiziert	(null)	(null)
Staphylococcus aureus mit Resistenz gegen Glykopeptid-Antibiotika, Chinolone, Streptogramine oder Oxazolidinone und ohne Resistenz gegen Oxacillin oder Methicillin	U80.01	U80.0	(null)	(null)	U80	(null)
Sonstige lokalisationsbezogene (fokale) (partielle) idiopathische Epilepsie und epileptische Syndrome mit fokal beginnenden Anfällen	G40.08	G40.0	2002985	Lokalisationsbezogene (fokale) (partielle) idiopathische Epilepsie und epileptische Syndrome mit fokal beginnenden Anfällen	(null)	(null)
Subluxation (der Wirbelsäule): Thorakalbereich [thorakolumbal]	M99.12	M99.1	2005941	Subluxation (der Wirbelsäule)	(null)	(null)
Sonstige näher bezeichnete medizinische Behandlung	Z51.88	Z51.8	2011796	Sonstige näher bezeichnete medizinische Behandlung	(null)	(null)
Flexionsdeformität: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]	M21.27	M21.2	2005476	Flexionsdeformität	(null)	(null)
Spontanruptur von Strecksehnen: Unterschenkel [Fibula, Tibia, Kniegelenk]	M66.26	M66.2	2005711	Spontanruptur von Strecksehnen	(null)	(null)
Rheumaknoten: Unterarm [Radius, Ulna, Handgelenk]	M06.33	M06.3	2005365	Rheumaknoten	(null)	(null)
Tuberkulöse Arthritis: Unterschenkel [Fibula, Tibia, Kniegelenk]	M01.16	M01.1	2005335	Tuberkulöse Arthritis	(null)	(null)
Verbrennung 1. Grades des Rumpfes: (Äußeres) Genitale	T21.15	T21.1	2009289	Verbrennung 1. Grades des Rumpfes	(null)	(null)
Multiple Sklerose mit sekundär-chronischem Verlauf: Mit Angabe einer akuten Exazerbation oder Progression	G35.31	G35.3	(null)	(null)	G35	Multiple Sklerose [Encephalomyelitis disseminata]
Dekubitus, Grad nicht näher bezeichnet: Kreuzbein	L89.94	L89.9	2005272	Dekubitus und Druckzone, Grad nicht näher bezeichnet	(null)	(null)
Verätzung nicht näher bezeichneten Grades des Rumpfes: Thoraxwand mit Ausnahme von Brustdrüse und -warze	T21.42	T21.4	2009292	Verätzung nicht näher bezeichneten Grades des Rumpfes	(null)	(null)
Oberflächliche Verletzung der unteren Extremität, Höhe nicht näher bezeichnet: Schürfwunde	T13.01	T13.0	2009227	Oberflächliche Verletzung der unteren Extremität, Höhe nicht näher bezeichnet	(null)	(null)
Traumatische Muskelischämie des Unterschenkels	T79.62	T79.6	2009752	Traumatische Muskelischämie	(null)	(null)
Osteoporose bei endokrinen Störungen: Nicht näher bezeichnete Lokalisation	M82.19	M82.1	2005819	Osteoporose bei endokrinen Störungen	(null)	(null)
Arzneimittelinduzierte Gicht: Unterschenkel [Fibula, Tibia, Kniegelenk]	M10.26	M10.2	2005393	Arzneimittelinduzierte Gicht	(null)	(null)
Osteochondrose der Wirbelsäule, nicht näher bezeichnet: Mehrere Lokalisationen der Wirbelsäule	M42.90	M42.9	2005594	Osteochondrose der Wirbelsäule, nicht näher bezeichnet	(null)	(null)
Pulmonale Hypertonie bei chronischer Thromboembolie	I27.20	I27.2	2003799	Sonstige näher bezeichnete sekundäre pulmonale Hypertonie	(null)	(null)
Prellung und Hämatom der Niere	S37.01	S37.0	2008725	Verletzung der Niere	(null)	(null)
Gelenkkontraktur: Unterarm [Radius, Ulna, Handgelenk]	M24.53	M24.5	2005508	Gelenkkontraktur	(null)	(null)
Sonstige arzneimittelinduzierte Osteomalazie bei Erwachsenen: Nicht näher bezeichnete Lokalisation	M83.59	M83.5	2005827	Sonstige arzneimittelinduzierte Osteomalazie bei Erwachsenen	(null)	(null)
Pseudosarkomatöse Fibromatose: Mehrere Lokalisationen	M72.40	M72.4	2005750	Pseudosarkomatöse Fibromatose	(null)	(null)
Verbrennung nicht näher bezeichneten Grades des Rumpfes: Sonstige Teile	T21.09	T21.0	2009288	Verbrennung nicht näher bezeichneten Grades des Rumpfes	(null)	(null)
Sonstiges und nicht näher bezeichnetes Versagen und Abstoßung eines Hauttransplantates	T86.59	T86.5	(null)	(null)	T86	Versagen und Abstoßung von transplantierten Organen und Geweben
Freier Gelenkkörper: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]	M24.01	M24.0	2005503	Freier Gelenkkörper	(null)	(null)
Arthritis bei Colitis ulcerosa: Mehrere Lokalisationen	M07.50	M07.5	2005375	Arthritis bei Colitis ulcerosa	(null)	(null)
Vulvovaginale Ulzerationen und Entzündungen bei der chronischer Graft-versus-Host-Krankheit	N77.2	N77	2006296	Vulvovaginale Ulzeration und Entzündung bei anderenorts klassifizierten Krankheiten	(null)	(null)
Multiple Sklerose mit primär-chronischem Verlauf: Mit Angabe einer akuten Exazerbation oder Progression	G35.21	G35.2	(null)	(null)	G35	Multiple Sklerose [Encephalomyelitis disseminata]
Sonstige Sehnen- (Scheiden-) Kontraktur: Mehrere Lokalisationen	M67.10	M67.1	2005717	Sonstige Sehnen- (Scheiden-) Kontraktur	(null)	(null)
Ostitis condensans: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]	M85.38	M85.3	2005842	Ostitis condensans	(null)	(null)
Juvenile Spondylitis ankylosans: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]	M08.11	M08.1	2005379	Juvenile Spondylitis ankylosans	(null)	(null)
Osteomalazie im Erwachsenenalter durch Malabsorption: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]	M83.24	M83.2	2005824	Osteomalazie im Erwachsenenalter durch Malabsorption	(null)	(null)
Myositis bei anderenorts klassifizierten Protozoen- und Parasiteninfektionen: Oberarm [Humerus, Ellenbogengelenk]	M63.12	M63.1	2005696	Myositis bei anderenorts klassifizierten Protozoen- und Parasiteninfektionen	(null)	(null)
Beteiligung der Leber bei der akuten Graft-versus-host-Krankheit	K77.1	K77	2004851	Leberkrankheiten bei anderenorts klassifizierten Krankheiten	(null)	(null)
Chronische Instabilität des Kniegelenkes: Außenband [Lig. collaterale fibulare]	M23.54	M23.5	2005498	Chronische Instabilität des Kniegelenkes	(null)	(null)
Entzündliche Spondylopathie, nicht näher bezeichnet: Lumbosakralbereich	M46.97	M46.9	2005614	Entzündliche Spondylopathie, nicht näher bezeichnet	(null)	(null)
Verzögerte Frakturheilung: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]	M84.28	M84.2	2005833	Verzögerte Frakturheilung	(null)	(null)
Unterkieferfraktur: Corpus mandibulae, sonstige und nicht näher bezeichnete Teile	S02.68	S02.6	2008473	Unterkieferfraktur	(null)	(null)
Arthritis, nicht näher bezeichnet: Mehrere Lokalisationen	M13.90	M13.9	2005415	Arthritis, nicht näher bezeichnet	(null)	(null)
Wirbelkörperkompression, anderenorts nicht klassifiziert: Lumbosakralbereich	M48.57	M48.5	2005627	Wirbelkörperkompression, anderenorts nicht klassifiziert	(null)	(null)
Hypertrophie der Synovialis, anderenorts nicht klassifiziert: Unterschenkel [Fibula, Tibia, Kniegelenk]	M67.26	M67.2	2005718	Hypertrophie der Synovialis, anderenorts nicht klassifiziert	(null)	(null)
Sonstige Spondylose mit Myelopathie: Lumbalbereich	M47.16	M47.1	2005617	Sonstige Spondylose mit Myelopathie	(null)	(null)
Verbliebener Fremdkörper im Weichteilgewebe: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]	M79.57	M79.5	2005793	Verbliebener Fremdkörper im Weichteilgewebe	(null)	(null)
Sonstige Myositis: Unterarm [Radius, Ulna, Handgelenk]	M60.83	M60.8	2005674	Sonstige Myositis	(null)	(null)
Verätzung Grad 2b des Rumpfes: Brustdrüse [Mamma]	T21.91	T21.9	(null)	(null)	T21	Verbrennung oder Verätzung des Rumpfes
Reiter-Krankheit: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]	M02.31	M02.3	2005346	Reiter-Krankheit	(null)	(null)
Osteomalazie im Erwachsenenalter durch Malabsorption: Mehrere Lokalisationen	M83.20	M83.2	2005824	Osteomalazie im Erwachsenenalter durch Malabsorption	(null)	(null)
Keine oder leichte kognitive Funktionseinschränkung	U51.0	U51	(null)	(null)	(null)	(null)
Stillstand des Epiphysenwachstums: Unterschenkel [Fibula, Tibia, Kniegelenk]	M89.16	M89.1	2005871	Stillstand des Epiphysenwachstums	(null)	(null)
Diabetes mellitus, Typ 1: Ohne Komplikationen: Als entgleist bezeichnet	E10.91	E10.9	2012204	Diabetes mellitus, Typ 1: Ohne Komplikationen	(null)	(null)
Sehnenscheidenabszess: Oberarm [Humerus, Ellenbogengelenk]	M65.02	M65.0	2005701	Sehnenscheidenabszess	(null)	(null)
Sonstige zerebrale transitorische Ischämie und verwandte Syndrome: Verlauf der Rückbildung nicht näher bezeichnet	G45.89	G45.8	2003021	Sonstige zerebrale transitorische Ischämie und verwandte Syndrome	(null)	(null)
Ostitis condensans: Unterarm [Radius, Ulna, Handgelenk]	M85.33	M85.3	2005842	Ostitis condensans	(null)	(null)
Verätzungen von 70-79 % der Körperoberfläche: 50-59 % Verätzungen 3. Grades	T32.75	T32.7	2009400	Verätzungen von 70-79 % der Körperoberfläche	(null)	(null)
Sonstige Störungen der Knochenentwicklung und des Knochenwachstums: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]	M89.21	M89.2	2005872	Sonstige Störungen der Knochenentwicklung und des Knochenwachstums	(null)	(null)
Bursopathie, nicht näher bezeichnet: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]	M71.97	M71.9	2005745	Bursopathie, nicht näher bezeichnet	(null)	(null)
